Id,Project,SATD comment,On-hold or not
1,Camel project,"/*
 
  TODO - cannot currently figure out how to be able to inject both Endpoint and MockEndpoint
  using a @Produces plugin with a single method without using explicit qualifier annotations
  to separate the two scenarios which is a bit ugly.
 
  See discussion here:
  https://issues.apache.org/jira/browse/CAMEL-5553
 
  Ideally it would be nice to be able to do this:
 
  @Inject
  @EndpointInject(uri = ""mock:blah"")
  private MockEndpoint endpoint;
 
  */",no
2,Tomcat project,"/*
  * Changes from commons.modeler:
  * 
  * - use DynamicMBean
  * - remove methods not used in tomcat and redundant/not very generic
  * - must be created from the ManagedBean - I don't think there were any direct
  * uses, but now it is required.
  * - some of the gratuituous flexibility removed - instead this is more predictive and
  * strict with the use cases.
  * - all Method and metadata is stored in ManagedBean. BaseModelBMean and ManagedBean act
  * like Object and Class. 
  * - setModelMBean is no longer called on resources ( not used in tomcat )
  * - no caching of Methods for now - operations and setters are not called repeatedly in most 
  * management use cases. Getters should't be called very frequently either - and even if they
  * are, the overhead of getting the method should be small compared with other JMX costs ( RMI, etc ).
  * We can add getter cache if needed.
  * - removed unused constructor, fields
  * 
  * TODO:
  * - clean up catalina.mbeans, stop using weird inheritance
  */",no
3,Tomcat project,"/*
  * Checks for problematic configuration and fix it.
  * The fix provides reasonable settings for a single CPU
  * with medium load.
  */",no
4,Tomcat project,"/*
  * DISPATCHED - Standard request. Not in Async mode.
  * STARTING - ServletRequest.startAsync() has been called but the
  * request in which that call was made has not finished
  * processing.
  * STARTED - ServletRequest.startAsync() has been called and the
  * request in which that call was made has finished
  * processing.
  * MUST_COMPLETE - complete() has been called before the request in which
  * ServletRequest.startAsync() has finished. As soon as that
  * request finishes, the complete() will be processed.
  * COMPLETING - The call to complete() was made once the request was in
  * the STARTED state. May or may not be triggered by a
  * container thread - depends if start(Runnable) was used
  * 
  * TODO - markt - Move this to a separate class
  */",no
5,Tomcat project,"/*
  * Generate a real default StandardContext TODO read and interpret the
  * default context.xml and context.xml.default TODO Cache a Default
  * StandardContext ( with reloading strategy) TODO remove really all
  * elements, but detection is hard... To Listener or Valve from same class?>
  * 
  * @see org.apache.catalina.storeconfig.StoreAppender#defaultInstance(java.lang.Object)
  */",no
6,Tomcat project,"/*
  * Refactoring: original code in catalina.connector.
  * - renamed to OutputWriter to avoid confusion with coyote OutputBuffer
  * - 
  * TODO: move it to coyote, add Response.getWriter 
  * 
  */",no
7,Tomcat project,"/*
  * This is a temporary hack to allow the WebSocket EA TCK to work. This
  * has been confirmed as non-compliant with the EG lead so the TCK will
  * have to change. For now, we need the TCK to work.
  */",no
8,Camel project,"/*
  * This is a working test but is commented out because there is bug in that ConditionalExceptionProcessor 
  * gets somehow reused among different tests, which it should not and then the second test always get its request 
  * flow rolled back
  * 
  * I didn't split this test into two separate tests as I think this will be a good reminder of the problem that
  * needs fixing
  * 
  * The bellow log crearly shows the same processor reused between tests
  * testRollbackUsingXmlQueueToQueueRequestReplyUsingDynamicMessageSelector()
  * org.apache.camel.component.jms.tx.ConditionalExceptionProcessor@63a721; getCount() = 1
  * org.apache.camel.component.jms.tx.ConditionalExceptionProcessor@63a721; getCount() = 2
  * 
  * testRollbackUsingXmlQueueToQueueRequestReplyUsingMessageSelectorPerProducer()
  * org.apache.camel.component.jms.tx.ConditionalExceptionProcessor@63a721; getCount() = 3
  * org.apache.camel.component.jms.tx.ConditionalExceptionProcessor@63a721; getCount() = 4
 */",yes
9,Tomcat project,"/*
  * This is the same as testAcceptProtectedBasic (above), except
  * using white space around the password credential.
  *
  * The request is rejected with 401 SC_UNAUTHORIZED status.
  *
  * TODO: RFC2617 does not define the separation syntax between the
  * auth-scheme and basic-credentials tokens. Tomcat should tolerate
  * any reasonable amount of white space and return SC_OK.
  */",no
10,Tomcat project,"/*
  * This is the same as testAcceptProtectedBasic (above), except
  * using white space around the username credential.
  *
  * The request is rejected with 401 SC_UNAUTHORIZED status.
  *
  * TODO: RFC2617 does not define the separation syntax between the
  * auth-scheme and basic-credentials tokens. Tomcat should tolerate
  * any reasonable amount of white space and return SC_OK.
  */",no
