,clean_comment,On-hold or not
0, todo can not currently figure out how to be able to inject both endpoint and mockendpoint use a produces plugin with a single method without use explicit qualifi annotation to separate the two scenario which be a bit ugly see discussion here https issues apache org jira browse camel 5553 ideally pron would be nice to be able to do this inject endpointinject uri mock blah private mockendpoint endpoint,0
1, change from commons modeler use dynamicmbean remove method not use in tomcat and redundant not very generic must be create from the managedbean pron do not think there be any direct use but now pron be require some of the gratuituous flexibility remove instead this be more predictive and strict with the use case all method and metadata be store in managedbean basemodelbmean and managedbean act like object and class setmodelmbean be no long call on resource not use in tomcat no caching of methods for now operation and setter be not call repeatedly in most management use case getter should t be call very frequently either and even if pron be the overhead of get the method should be small compare with other jmx cost rmi etc pron can add getter cache if need remove unused constructor field todo clean up catalina mbean stop use weird inheritance,0
2, check for problematic configuration and fix pron the fix provide reasonable setting for a single cpu with medium load ,0
3, dispatch standard request not in async mode starting servletrequest startasync have be call but the request in which that call be make have not finish processing start servletrequest startasync have be call and the request in which that call be make have finish processing must complete complete have be call before the request in which servletrequest startasync have finish as soon as that request finish the complete will be process complete the call to complete be make once the request be in the start state may or may not be trigger by a container thread depend if start runnable be use todo markt move this to a separate class,0
4, generate a real default standardcontext todo read and interpret the default context xml and context xml default todo cache a default standardcontext with reload strategy todo remove really all element but detection be hard to listener or valve from same class see org apache catalina storeconfig storeappender defaultinstance java lang object,0
5, refactore original code in catalina connector rename to outputwriter to avoid confusion with coyote outputbuffer todo move pron to coyote add response getwriter,0
6, this be a temporary hack to allow the websocket ea tck to work this have be confirm as non compliant with the eg lead so the tck will have to change for now pron need the tck to work ,0
7, this be a working test but be comment out because there be bug in that conditionalexceptionprocessor get somehow reuse among different test which pron should not and then the second test always get pron request flow roll back pron do not split this test into two separate test as pron think this will be a good reminder of the problem that need fix the bellow log crearly show the same processor reuse between test testrollbackusingxmlqueuetoqueuerequestreplyusingdynamicmessageselector org apache camel component jms tx conditionalexceptionprocessor 63a721 getcount 1 org apache camel component jms tx conditionalexceptionprocessor 63a721 getcount 2 testrollbackusingxmlqueuetoqueuerequestreplyusingmessageselectorperproducer org apache camel component jms tx conditionalexceptionprocessor 63a721 getcount 3 org apache camel component jms tx conditionalexceptionprocessor 63a721 getcount 4,1
8, this be the same as testacceptprotectedbasic above except use white space around the password credential the request be reject with 401 sc unauthorized status todo rfc2617 do not define the separation syntax between the auth scheme and basic credential token tomcat should tolerate any reasonable amount of white space and return sc ok ,0
9, this be the same as testacceptprotectedbasic above except use white space around the username credential the request be reject with 401 sc unauthorized status todo rfc2617 do not define the separation syntax between the auth scheme and basic credential token tomcat should tolerate any reasonable amount of white space and return sc ok ,0
10, this method be slightly ugly c est la vie pron can not stop ugliness pron can only hope to contain pron apology to marv albert regard mj,0
11, this method be use to walk around the npe issue of cxf 2 0 4 org apache cxf interceptor faultoutinterceptor this issue be fix in cxf 2 0 5 and cxf 2 1 when pron upgrade cxf to that version pron could remove this method from the interceptor,1
12, todo temporary method to aid in some refactoring pron be currently expect that this method will be remove in a subsequent refactoring ,0
13, todo get rid of this once jobid have pron be own comparator,1
14, todo pron need to change format of the image file pron should not contain version and namespace field,0
15, todo above sound a little arbitrary on the other hand there be no object reference by type null so pron can also say all the object reference by type null be derive from java lang object however the java language s instanceof operator prove pron wrong null be not refer to an instance of java lang object,0
16, todo after yarn 2 be commit pron should call containerresource getcpus or equivalent to multiply the weight by the number of request cpus ,1
17, todo expectation fix docs order matter crash in chrome test with unit test or google chrome use flip no ssl user data dir home user config google chrome test http localhost 8802 hello,0
18, todo expectation fix docs order matter crash in chrome,0
19, todo be this case a norm should this case handle in a different way,0
20, will be fix in next hazelcast version 1 9 3 mail from talip 21 02 2011 pron see hazelcast shutdownall should cleanup instance map queue pron just fix pron atomicnumber destroy should also destroy the number and if pron call atomicnumber get after the destroy pron should throw illegalstateexception pron be also fix set test to true by default todo if pron will get the new hazelcast version pron will fix the test ,1
